2025-10-22 11:28:44 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-11-03T10:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:28:44 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-11-05T10:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:28:44 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-11-08T10:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:28:44 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-11-12T10:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:28:44 | INFO     | student_reviews:76 | 创建学生复习记录: ID=review_2_Sheet1_1761150524, 学生=linhao2, 单词集=Sheet1, 单词数=10
2025-10-22 11:28:45 | INFO     | students:353 | 课时扣减成功: 学生=linhao2, 扣减=1.0h, 20.0h → 19.0h, 操作人=jlhjlh
2025-10-22 11:28:45 | INFO     | schedule:208 | 课程标记完成: 学生=linhao2, 日期=2025-10-22, 类型=learning, 操作人=jlhjlh
2025-10-22 11:29:17 | INFO     | schedule:73 | 管理员 admin 为教师 jlhjlh 创建课程
2025-10-22 11:29:17 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-22T03:30:00Z (UTC), 类型=learning, 时长=60分钟
2025-10-22 11:29:24 | INFO     | progress:218 | 九宫格统计: 学生=linhao2, 单词集=Sheet1, 总单词数=2504, 已学=10, 统计={'grid_0': 2495, 'grid_1': 4, 'grid_2': 1, 'grid_3': 4, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 0}
2025-10-22 11:29:24 | INFO     | progress:218 | 九宫格统计: 学生=linhao2, 单词集=Sheet1, 总单词数=2504, 已学=10, 统计={'grid_0': 2495, 'grid_1': 4, 'grid_2': 1, 'grid_3': 4, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 0}
2025-10-22 11:33:10 | INFO     | progress:218 | 九宫格统计: 学生=linhao2, 单词集=Sheet1, 总单词数=2504, 已学=10, 统计={'grid_0': 2495, 'grid_1': 4, 'grid_2': 1, 'grid_3': 4, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 0}
2025-10-22 11:33:10 | INFO     | progress:218 | 九宫格统计: 学生=linhao2, 单词集=Sheet1, 总单词数=2504, 已学=10, 统计={'grid_0': 2495, 'grid_1': 4, 'grid_2': 1, 'grid_3': 4, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 0}
2025-10-22 11:33:52 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=0, 阶段=4/0
2025-10-22 11:33:52 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=1, 阶段=4/0
2025-10-22 11:33:53 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=2, 阶段=4/0
2025-10-22 11:33:53 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=3, 阶段=4/0
2025-10-22 11:33:53 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=4, 阶段=2/0
2025-10-22 11:33:53 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=5, 阶段=2/0
2025-10-22 11:33:53 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=6, 阶段=2/0
2025-10-22 11:33:53 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=7, 阶段=2/0
2025-10-22 11:33:53 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=8, 阶段=2/0
2025-10-22 11:33:53 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=9, 阶段=1/0
2025-10-22 11:33:58 | INFO     | anti_forget:80 | 创建抗遗忘会话: ID=af_2_Sheet1_1761150838, 学生=linhao2, 单词集=Sheet1, 单词数=9
2025-10-22 11:33:58 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-23T04:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:33:58 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-24T04:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:33:58 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-25T04:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:33:58 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-27T04:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:33:58 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-29T04:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:33:58 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-31T04:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:33:58 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-11-03T04:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:33:58 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-11-05T04:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:33:58 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-11-08T04:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:33:58 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-11-12T04:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:33:58 | INFO     | student_reviews:76 | 创建学生复习记录: ID=review_2_Sheet1_1761150838, 学生=linhao2, 单词集=Sheet1, 单词数=9
2025-10-22 11:33:59 | INFO     | students:353 | 课时扣减成功: 学生=linhao2, 扣减=1.0h, 19.0h → 18.0h, 操作人=jlhjlh
2025-10-22 11:33:59 | INFO     | schedule:208 | 课程标记完成: 学生=linhao2, 日期=2025-10-22, 类型=learning, 操作人=jlhjlh
2025-10-22 11:34:32 | INFO     | schedule:73 | 管理员 admin 为教师 jlhjlh 创建课程
2025-10-22 11:34:32 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-22T04:30:00Z (UTC), 类型=learning, 时长=60分钟
2025-10-22 11:34:35 | INFO     | progress:218 | 九宫格统计: 学生=linhao2, 单词集=Sheet1, 总单词数=2504, 已学=10, 统计={'grid_0': 2494, 'grid_1': 1, 'grid_2': 5, 'grid_3': 0, 'grid_4': 4, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 0}
2025-10-22 11:34:35 | INFO     | progress:218 | 九宫格统计: 学生=linhao2, 单词集=Sheet1, 总单词数=2504, 已学=10, 统计={'grid_0': 2494, 'grid_1': 1, 'grid_2': 5, 'grid_3': 0, 'grid_4': 4, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 0}
2025-10-22 11:35:33 | INFO     | schedule:73 | 管理员 admin 为教师 jlhjlh 创建课程
2025-10-22 11:35:33 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-22T05:00:00Z (UTC), 类型=learning, 时长=60分钟
2025-10-22 11:35:37 | INFO     | progress:218 | 九宫格统计: 学生=linhao2, 单词集=Sheet1, 总单词数=2504, 已学=10, 统计={'grid_0': 2494, 'grid_1': 1, 'grid_2': 5, 'grid_3': 0, 'grid_4': 4, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 0}
2025-10-22 11:35:37 | INFO     | progress:218 | 九宫格统计: 学生=linhao2, 单词集=Sheet1, 总单词数=2504, 已学=10, 统计={'grid_0': 2494, 'grid_1': 1, 'grid_2': 5, 'grid_3': 0, 'grid_4': 4, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 0}
2025-10-22 11:36:25 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=0, 阶段=5/0
2025-10-22 11:36:25 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=1, 阶段=5/0
2025-10-22 11:36:25 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=2, 阶段=5/0
2025-10-22 11:36:25 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=3, 阶段=5/0
2025-10-22 11:36:25 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=4, 阶段=3/0
2025-10-22 11:36:25 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=5, 阶段=3/0
2025-10-22 11:36:25 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=6, 阶段=3/0
2025-10-22 11:36:25 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=7, 阶段=3/0
2025-10-22 11:36:25 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=8, 阶段=3/0
2025-10-22 11:36:25 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=9, 阶段=2/0
2025-10-22 11:36:31 | INFO     | anti_forget:80 | 创建抗遗忘会话: ID=af_2_Sheet1_1761150991, 学生=linhao2, 单词集=Sheet1, 单词数=10
2025-10-22 11:36:31 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-23T05:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:36:31 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-24T05:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:36:31 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-25T05:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:36:31 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-27T05:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:36:31 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-29T05:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:36:31 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-31T05:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:36:31 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-11-03T05:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:36:31 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-11-05T05:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:36:31 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-11-08T05:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:36:31 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-11-12T05:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:36:31 | INFO     | student_reviews:76 | 创建学生复习记录: ID=review_2_Sheet1_1761150991, 学生=linhao2, 单词集=Sheet1, 单词数=10
2025-10-22 11:36:32 | INFO     | students:353 | 课时扣减成功: 学生=linhao2, 扣减=1.0h, 18.0h → 17.0h, 操作人=jlhjlh
2025-10-22 11:36:32 | INFO     | schedule:208 | 课程标记完成: 学生=linhao2, 日期=2025-10-22, 类型=learning, 操作人=jlhjlh
2025-10-22 11:36:35 | INFO     | progress:218 | 九宫格统计: 学生=linhao2, 单词集=Sheet1, 总单词数=2504, 已学=10, 统计={'grid_0': 2494, 'grid_1': 0, 'grid_2': 1, 'grid_3': 5, 'grid_4': 0, 'grid_5': 4, 'grid_6': 0, 'grid_7': 0, 'grid_8': 0}
2025-10-22 11:36:35 | INFO     | progress:218 | 九宫格统计: 学生=linhao2, 单词集=Sheet1, 总单词数=2504, 已学=10, 统计={'grid_0': 2494, 'grid_1': 0, 'grid_2': 1, 'grid_3': 5, 'grid_4': 0, 'grid_5': 4, 'grid_6': 0, 'grid_7': 0, 'grid_8': 0}
2025-10-22 11:41:31 | INFO     | schedule:73 | 管理员 admin 为教师 jlhjlh 创建课程
2025-10-22 11:41:31 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-22T06:30:00Z (UTC), 类型=learning, 时长=60分钟
2025-10-22 11:41:42 | INFO     | schedule:73 | 管理员 admin 为教师 jlhjlh 创建课程
2025-10-22 11:41:42 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-22T07:00:00Z (UTC), 类型=learning, 时长=60分钟
