2025-10-23 23:54:46 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-24 00:02:08 | INFO     | schedule:73 | 管理员 admin 为教师 jlh 创建课程
2025-10-24 00:02:08 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-23T22:00:00Z (UTC), 类型=learning, 时长=60分钟
2025-10-24 00:02:16 | INFO     | schedule:73 | 管理员 admin 为教师 jlh 创建课程
2025-10-24 00:02:16 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-23T23:00:00Z (UTC), 类型=learning, 时长=60分钟
2025-10-24 00:02:24 | INFO     | schedule:73 | 管理员 admin 为教师 jlh 创建课程
2025-10-24 00:02:24 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-24T00:00:00Z (UTC), 类型=learning, 时长=60分钟
2025-10-24 00:02:41 | INFO     | schedule:73 | 管理员 admin 为教师 jlh 创建课程
2025-10-24 00:02:41 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-24T01:00:00Z (UTC), 类型=learning, 时长=60分钟
2025-10-24 00:02:49 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-24 00:02:49 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-24 00:09:11 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-24 00:09:13 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-24 00:09:13 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-24 00:12:33 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-24 00:12:33 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-24 00:12:45 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao, 单词集=Sheet1, 单词索引=9, 阶段=2/0
2025-10-24 00:12:45 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao, 单词集=Sheet1, 单词索引=461, 阶段=2/0
2025-10-24 00:12:45 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao, 单词集=Sheet1, 单词索引=1358, 阶段=2/0
2025-10-24 00:12:45 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao, 单词集=Sheet1, 单词索引=7, 阶段=2/0
2025-10-24 00:12:45 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao, 单词集=Sheet1, 单词索引=8, 阶段=2/0
2025-10-24 00:13:14 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao, 单词集=Sheet1, 单词索引=31, 阶段=2/0
2025-10-24 00:13:14 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao, 单词集=Sheet1, 单词索引=5, 阶段=2/0
2025-10-24 00:13:14 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao, 单词集=Sheet1, 单词索引=6, 阶段=2/0
2025-10-24 00:13:14 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao, 单词集=Sheet1, 单词索引=695, 阶段=2/0
2025-10-24 00:13:14 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao, 单词集=Sheet1, 单词索引=597, 阶段=2/0
